task	workBranch	fixBranch	fixStatus	prUrl
M4-T01	codex/MAMBO-m3-002-stage-split-earth-system-first	agent-TOMMY-M4-T01-fix-mambo-m3-002-stage-split-earth-system-fi-a47102	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1296
M4-T02	codex/MAMBO-m3-003-scorelayers-artifact-and-score-ops	agent-TOMMY-M4-T02-fix-mambo-m3-003-scorelayers-artifact-and-sc-9d3358	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1297
M4-T03	codex/MAMBO-m3-004-plan-ice-deterministic	agent-TOMMY-M4-T03-fix-mambo-m3-004-plan-ice-deterministic-6f0890	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1298
M4-T04	codex/MAMBO-m3-005-plan-reefs-deterministic	agent-TOMMY-M4-T04-fix-mambo-m3-005-plan-reefs-deterministic-42c50e	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1318
M4-T05	codex/MAMBO-m3-006-plan-wetlands-deterministic	agent-TOMMY-M4-T05-fix-mambo-m3-006-plan-wetlands-deterministic-284a7e	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1319
M4-T06	codex/MAMBO-m3-007-plan-vegetation-deterministic	agent-TOMMY-M4-T06-fix-mambo-m3-007-plan-vegetation-determinist-33fa9e	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1320
M4-T07	codex/MAMBO-m3-008-stamping-strict-features-apply	agent-TOMMY-M4-T07-fix-mambo-m3-008-stamping-strict-features-ap-5cbbf9	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1321
M4-T08	codex/MAMBO-m3-009-cleanup-delete-legacy-chance	agent-TOMMY-M4-T08-fix-mambo-m3-009-cleanup-delete-legacy-chanc-912363	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1299
M4-T09	codex/MAMBO-m3-010-post-cutover-cleanup	agent-TOMMY-M4-T09-fix-mambo-m3-010-post-cutover-cleanup-5fefd4	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1322
M4-T10	codex/MAMBO-m3-011-canonical-docs-sweep	agent-TOMMY-M4-T10-fix-mambo-m3-011-canonical-docs-sweep-f6feb2	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1300
M4-T11	codex/MAMBO-m3-012-fix-biomes-stripes	agent-TOMMY-M4-T11-fix-mambo-m3-012-fix-biomes-stripes-faece2	needs-discussion	https://github.com/mateicanavra/civ7-modding-tools/pull/1301
M4-T12	codex/MAMBO-m3-014-lakes-not-filled	agent-TOMMY-M4-T12-fix-mambo-m3-014-lakes-not-filled-993ca5	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1302
M4-T13	codex/MAMBO-m3-013-bio-lat-cutoff	agent-TOMMY-M4-T13-fix-mambo-m3-013-bio-lat-cutoff-2ab14f	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1303
M4-T14	codex/M3-015-hydrology-effectiveMoisture-soils	agent-TOMMY-M4-T14-fix-m3-015-hydrology-effectivemoisture-soils-69ea1b	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1304
M4-T15	codex/default-config-intent-tuning	agent-TOMMY-M4-T15-fix-default-config-intent-tuning-384ba2	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1305
M4-T16	codex/MAMBO-lakes-resources-waterfill-rootcause	agent-TOMMY-M4-T16-fix-mambo-lakes-resources-waterfill-rootcaus-693afa	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1306
M4-T17	codex/MAMBO-elevation-terrain-parity-audit	agent-TOMMY-M4-T17-fix-mambo-elevation-terrain-parity-audit-06489e	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1307
M4-T18	codex/MAMBO-resources-stamping-rootcause	agent-TOMMY-M4-T18-fix-mambo-resources-stamping-rootcause-01732c	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1308
M4-T19	codex/MAMBO-elevation-post-hydrology-lifecycle	agent-TOMMY-M4-T19-fix-mambo-elevation-post-hydrology-lifecycle-2f0228	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1309
M4-T20	codex/prr-epp-s0-plan-bootstrap	agent-TOMMY-M4-T20-fix-prr-epp-s0-plan-bootstrap-888878	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1310
M4-T21	codex/prr-epp-s1-drift-observability	agent-TOMMY-M4-T21-fix-prr-epp-s1-drift-observability-60cf6d	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1311
M4-T22	codex/prr-epp-s2-ecology-physics-cutover	agent-TOMMY-M4-T22-fix-prr-epp-s2-ecology-physics-cutover-38049d	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1312
M4-T23	codex/prr-epp-s3-lakes-deterministic	agent-TOMMY-M4-T23-fix-prr-epp-s3-lakes-deterministic-2ad056	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1313
M4-T24	codex/prr-epp-s3b-lakes-regression-fix	agent-TOMMY-M4-T24-fix-prr-epp-s3b-lakes-regression-fix-08449d	superseded	https://github.com/mateicanavra/civ7-modding-tools/pull/1314
M4-T25	codex/prr-epp-s4-resources-deterministic	agent-TOMMY-M4-T25-fix-prr-epp-s4-resources-deterministic-21a5eb	no-action	https://github.com/mateicanavra/civ7-modding-tools/pull/1315
M4-T26	codex/prr-epp-s5-placement-randomness-zero	agent-TOMMY-M4-T26-fix-prr-epp-s5-placement-randomness-zero-9913bc	fixed	https://github.com/mateicanavra/civ7-modding-tools/pull/1316
M4-T27	codex/prr-epp-s6-hardening-docs-tests	agent-TOMMY-M4-T27-fix-prr-epp-s6-hardening-docs-tests-4fee2c	needs-discussion	https://github.com/mateicanavra/civ7-modding-tools/pull/1317
